query	question	triples
Across the three memory-performance patents, how do their approaches divide between GPU-side CNN memory efficiency, in-memory decompression, and wafer-bonded high-bandwidth memory access?	Across the three memory-performance patents, how do their approaches divide between GPU-side CNN memory efficiency, in-memory decompression, and wafer-bonded high-bandwidth memory access?	"{""named_entities"": [""GPU-side CNN memory efficiency"", ""in-memory decompression"", ""wafer-bonded high-bandwidth memory access"", ""memory-performance patents""]}"
Across the three patents that span GPU CNN optimization, chiplet interconnects, and PIM decompression, what technical layer does each one optimize?	Across the three patents that span GPU CNN optimization, chiplet interconnects, and PIM decompression, what technical layer does each one optimize?	"{""named_entities"": [""GPU"", ""CNN"", ""chiplet interconnects"", ""PIM decompression""]}"
Across the two neural-computation accelerator patents in the first group, how do their optimization targets differ between memory behavior for CNN execution and numerical representation for tensor processing?	Across the two neural-computation accelerator patents in the first group, how do their optimization targets differ between memory behavior for CNN execution and numerical representation for tensor processing?	"{""named_entities"": [""neural-computation accelerator patents"", ""first group"", ""CNN execution"", ""tensor processing""]}"
For the two die-integration patents, how does interposer-based serial chiplet communication differ from wafer-bonded embedded memory-to-logic connectivity?	For the two die-integration patents, how does interposer-based serial chiplet communication differ from wafer-bonded embedded memory-to-logic connectivity?	"{""named_entities"": [""interposer-based serial chiplet communication"", ""wafer-bonded embedded memory-to-logic connectivity"", ""die-integration patents""]}"
For the two packaging-oriented patents in the second group, which one focuses on protocol-based communication across dies on an interposer, and which one focuses on vertical memory-compute stacking for AI processing?	For the two packaging-oriented patents in the second group, which one focuses on protocol-based communication across dies on an interposer, and which one focuses on vertical memory-compute stacking for AI processing?	"{""named_entities"": [""packaging-oriented patents"", ""second group"", ""protocol-based communication"", ""dies"", ""interposer"", ""vertical memory-compute stacking"", ""AI processing""]}"
For the two platform-integration patents, how do their approaches differ between wafer-bonded memory access and cooperative ANN computation across processing units?	For the two platform-integration patents, how do their approaches differ between wafer-bonded memory access and cooperative ANN computation across processing units?	"{""named_entities"": [""platform-integration patents"", ""wafer-bonded memory access"", ""cooperative ANN computation"", ""processing units"", ""ANN""]}"
In the group pairing CNN memory optimization with PIM data handling, how does each patent reduce memory-related overhead in a different place in the system?	In the group pairing CNN memory optimization with PIM data handling, how does each patent reduce memory-related overhead in a different place in the system?	"{""named_entities"": [""CNN"", ""PIM""]}"
In the memory-centric pair, which patent performs decompression directly in a PIM device, and which embeds high-bandwidth memory access by bonding memory and logic dies?	In the memory-centric pair, which patent performs decompression directly in a PIM device, and which embeds high-bandwidth memory access by bonding memory and logic dies?	"{""named_entities"": [""PIM device"", ""high-bandwidth memory"", ""memory die"", ""logic die""]}"
In the paired system-integration patents, how does one move decompression into memory while the other structures on-chip memory access for three-dimensional convolution?	In the paired system-integration patents, how does one move decompression into memory while the other structures on-chip memory access for three-dimensional convolution?	"{""named_entities"": [""system-integration patents"", ""decompression"", ""memory"", ""on-chip memory access"", ""three-dimensional convolution""]}"
Intel neural network accelerator memory buffer	Intel neural network accelerator memory buffer	"{""named_entities"": [""Intel"", ""neural network accelerator"", ""memory buffer""]}"
Which paired patents address performance bottlenecks at different layers, one by optimizing CNN kernels and GPU memory use, and the other by enabling chiplet communication through a common protocol on an interposer?	Which paired patents address performance bottlenecks at different layers, one by optimizing CNN kernels and GPU memory use, and the other by enabling chiplet communication through a common protocol on an interposer?	"{""named_entities"": [""CNN kernels"", ""GPU memory"", ""chiplet communication"", ""common protocol"", ""interposer"", ""performance bottlenecks"", ""paired patents""]}"
Which patent claims a memory-device method that receives compressed data at a processing-in-memory device and performs decompression on that device?	Which patent claims a memory-device method that receives compressed data at a processing-in-memory device and performs decompression on that device?	"{""named_entities"": [""memory-device method"", ""compressed data"", ""processing-in-memory device"", ""decompression""]}"
Which patent describes ANN processing circuits that receive input-neuron data and synaptic weights, generate partial results, and share those partial results over an interconnect?	Which patent describes ANN processing circuits that receive input-neuron data and synaptic weights, generate partial results, and share those partial results over an interconnect?	"{""named_entities"": [""ANN processing circuits"", ""input-neuron data"", ""synaptic weights"", ""partial results"", ""interconnect""]}"
Which patent describes a neural-network computation system that executes tensor instructions and dynamically determines a decimal position for output tensor values from collected statistics?	Which patent describes a neural-network computation system that executes tensor instructions and dynamically determines a decimal position for output tensor values from collected statistics?	"{""named_entities"": [""neural-network computation system"", ""tensor instructions"", ""decimal position"", ""output tensor values"", ""collected statistics""]}"
Which patent describes a neural-network unit with at least 512 processing units, registers receiving memory rows, and multiplexed-register rotation for column-channel-row convolution?	Which patent describes a neural-network unit with at least 512 processing units, registers receiving memory rows, and multiplexed-register rotation for column-channel-row convolution?	"{""named_entities"": [""neural-network unit"", ""512 processing units"", ""registers receiving memory rows"", ""multiplexed-register rotation"", ""column-channel-row convolution""]}"
Which patent describes an AI IC package where a first die contains FeRAM bit-cells and a second vertically stacked die contains computational logic with multiplier cells coupled to that memory?	Which patent describes an AI IC package where a first die contains FeRAM bit-cells and a second vertically stacked die contains computational logic with multiplier cells coupled to that memory?	"{""named_entities"": [""AI IC package"", ""FeRAM bit-cells"", ""first die"", ""second vertically stacked die"", ""computational logic"", ""multiplier cells""]}"
Which patent discloses common protocol interface circuits on separate integrated circuits arranged on an interposer, coupled by a communication link to form a serial protocol interface?	Which patent discloses common protocol interface circuits on separate integrated circuits arranged on an interposer, coupled by a communication link to form a serial protocol interface?	"{""named_entities"": [""common protocol interface circuits"", ""separate integrated circuits"", ""interposer"", ""communication link"", ""serial protocol interface""]}"
Which patent protects a microelectronic device having a trench or gap-region stress relief structure between a conductive via electrode and a microelectronic component?	Which patent protects a microelectronic device having a trench or gap-region stress relief structure between a conductive via electrode and a microelectronic component?	"{""named_entities"": [""microelectronic device"", ""trench or gap-region stress relief structure"", ""conductive via electrode"", ""microelectronic component"", ""patent""]}"
Which patent provides embedded access to high-bandwidth, high-capacity memory by wafer-bonding a memory die with modular three-dimensional storage-transistor arrays to a logic die?	Which patent provides embedded access to high-bandwidth, high-capacity memory by wafer-bonding a memory die with modular three-dimensional storage-transistor arrays to a logic die?	"{""named_entities"": [""high-bandwidth, high-capacity memory"", ""wafer-bonding"", ""memory die"", ""modular three-dimensional storage-transistor arrays"", ""logic die""]}"
Which patent teaches improving CNN execution on GPUs by generating data layout transformations, exploiting pooling-layer locality in on-chip memory, and using kernel fusion with thread injection?	Which patent teaches improving CNN execution on GPUs by generating data layout transformations, exploiting pooling-layer locality in on-chip memory, and using kernel fusion with thread injection?	"{""named_entities"": [""CNN"", ""GPUs"", ""data layout transformations"", ""pooling-layer locality"", ""on-chip memory"", ""kernel fusion"", ""thread injection""]}"
Which patent uses wavelets carrying fields such as virtual-channel, task, index, and data specifiers to route flow-based deep-learning computations across a two-dimensional mesh of processing elements?	Which patent uses wavelets carrying fields such as virtual-channel, task, index, and data specifiers to route flow-based deep-learning computations across a two-dimensional mesh of processing elements?	"{""named_entities"": [""wavelets"", ""virtual-channel specifier"", ""task specifier"", ""index specifier"", ""data specifier"", ""flow-based deep-learning computations"", ""two-dimensional mesh of processing elements""]}"
Retrieve claims describing CNN GPU memory efficiency with fast data layout transformation, pooling working-set expansion in on-chip memory, and kernel reconstruction using fusion and thread injection.	Retrieve claims describing CNN GPU memory efficiency with fast data layout transformation, pooling working-set expansion in on-chip memory, and kernel reconstruction using fusion and thread injection.	"{""named_entities"": [""CNN"", ""GPU"", ""data layout transformation"", ""pooling"", ""on-chip memory"", ""kernel reconstruction"", ""thread injection""]}"
Retrieve distributed matrix processor passages executing tensor instructions for neural-network computation, collecting output tensor statistics, and dynamically determining decimal position for numerical representation.	Retrieve distributed matrix processor passages executing tensor instructions for neural-network computation, collecting output tensor statistics, and dynamically determining decimal position for numerical representation.	"{""named_entities"": [""distributed matrix processor"", ""tensor instructions"", ""neural-network computation"", ""output tensor statistics"", ""decimal position"", ""numerical representation""]}"
Locate flow-based deep-learning wavelet disclosures for a 2D mesh of processing elements using virtual-channel, task, index, data element, and control/data specifiers.	Locate flow-based deep-learning wavelet disclosures for a 2D mesh of processing elements using virtual-channel, task, index, data element, and control/data specifiers.	"{""named_entities"": [""flow-based deep learning"", ""wavelet"", ""2D mesh"", ""processing elements"", ""virtual-channel specifier"", ""task specifier"", ""index specifier"", ""data element specifier"", ""control/data specifier""]}"
Search claims for chiplets or SOCs on a common interposer with first and second common protocol interface circuits coupled by a communication link to form a serial protocol interface.	Search claims for chiplets or SOCs on a common interposer with first and second common protocol interface circuits coupled by a communication link to form a serial protocol interface.	"{""named_entities"": [""chiplets"", ""SOCs"", ""common interposer"", ""common protocol interface circuits"", ""communication link"", ""serial protocol interface""]}"
Retrieve IC package disclosures where a first die includes FeRAM bit-cells and a vertically stacked second inference die includes multiplier computational logic coupled to memory.	Retrieve IC package disclosures where a first die includes FeRAM bit-cells and a vertically stacked second inference die includes multiplier computational logic coupled to memory.	"{""named_entities"": [""IC package"", ""first die"", ""FeRAM"", ""bit-cells"", ""second inference die"", ""multiplier computational logic"", ""memory""]}"
Retrieve representative claims for a microelectronic device with a conductive via electrode, substrate surface gap region, and stress relief structure between the via and microelectronic component.	Retrieve representative claims for a microelectronic device with a conductive via electrode, substrate surface gap region, and stress relief structure between the via and microelectronic component.	"{""named_entities"": [""conductive via electrode"", ""substrate surface"", ""gap region"", ""stress relief structure"", ""microelectronic component""]}"
Retrieve memory-device method claims reciting receiving compressed data at a processing-in-memory PIM device and decompressing the compressed data on the PIM device.	Retrieve memory-device method claims reciting receiving compressed data at a processing-in-memory PIM device and decompressing the compressed data on the PIM device.	"{""named_entities"": [""memory device"", ""compressed data"", ""processing-in-memory"", ""PIM device"", ""decompressing""]}"
Retrieve neural network unit claims with N processing units, registers reading memory rows, multiplexed-register rotation, and column-channel-row convolution of HxWxC inputs.	Retrieve neural network unit claims with N processing units, registers reading memory rows, multiplexed-register rotation, and column-channel-row convolution of HxWxC inputs.	"{""named_entities"": [""neural network unit"", ""processing units"", ""registers"", ""memory rows"", ""multiplexed-register rotation"", ""column-channel-row convolution"", ""HxWxC inputs""]}"
Retrieve electronic-device claims for wafer-bonded memory and logic dies, modular memory units, three-dimensional storage-transistor arrays, and exposed control address data conductors.	Retrieve electronic-device claims for wafer-bonded memory and logic dies, modular memory units, three-dimensional storage-transistor arrays, and exposed control address data conductors.	"{""named_entities"": [""electronic device"", ""wafer-bonded memory die"", ""logic die"", ""modular memory units"", ""three-dimensional storage-transistor arrays"", ""control address data conductors""]}"
